um_title,onet_code,onet_title,mapping_method,gemini_confidence
3D Animator,27-1014.00,Special Effects Artists and Animators,gemini,0.95
3D Visualizer,27-1014.00,Special Effects Artists and Animators,gemini,0.85
AI Research Scientist,15-1221.00,Computer and Information Research Scientists,gemini,0.95
Academic Advisor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",curated,
Academic Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
Academic Research Assistant,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",gemini,0.8
Academic Researcher,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.75
Academic Researcher in International Studies,19-3094.00,Political Scientists,gemini,0.8
Academic Researcher/Professor,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.95
Academic Writer,27-3043.00,Writers and Authors,gemini,0.9
Academic/Legal Educator,25-1112.00,"Law Teachers, Postsecondary",gemini,0.9
Accountant,13-2011.00,Accountants and Auditors,curated,
Accounts Executive,13-2011.00,Accountants and Auditors,gemini,0.85
Acoustics Engineer,17-2199.00,"Engineers, All Other",gemini,0.85
Acting Coach,25-3021.00,Self-Enrichment Teachers,gemini,0.8
Actor,27-2011.00,Actors,curated,
Actuarial Analyst,15-2011.00,Actuaries,gemini,0.95
Actuarial Consultant,15-2011.00,Actuaries,curated,
Actuary,15-2011.00,Actuaries,curated,
Addiction Counselor,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,gemini,0.95
Administrative Manager,11-3012.00,Administrative Services Managers,curated,
Advanced Music Conductor,27-2041.00,Music Directors and Composers,gemini,0.95
Advanced Process Control Engineer,17-2041.00,Chemical Engineers,gemini,0.85
Advanced Process Safety Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",gemini,0.9
Advanced Prosthetics Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.95
Advanced Transportation Engineer,17-2051.01,Transportation Engineers,gemini,0.95
Advertising Executive,11-2011.00,Advertising and Promotions Managers,gemini,0.85
Advocate and Solicitor,23-1011.00,Lawyers,gemini,0.98
Aerospace Engineer,17-2011.00,Aerospace Engineers,curated,
Aerospace Technician,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,gemini,0.98
Agricultural Biotechnologist,19-1029.00,"Biological Scientists, All Other",gemini,0.85
Air Quality Analyst,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.9
Air Quality Engineer,17-2081.00,Environmental Engineers,gemini,0.95
Algorithm Developer,17-2199.07,Photonics Engineers,curated,
Analytics Consultant,15-2051.01,Business Intelligence Analysts,gemini,0.85
Anesthesiologist,29-1211.00,Anesthesiologists,curated,
Application Developer,15-1252.00,Software Developers,curated,
Applications Developer,15-1252.00,Software Developers,gemini,0.95
Arabic Calligraphy Artist,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",gemini,0.9
Arabic Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Arabic Transcriptionist,43-9022.00,Word Processors and Typists,gemini,0.85
Arbitrator,23-1022.00,"Arbitrators, Mediators, and Conciliators",curated,
Architect,17-1011.00,"Architects, Except Landscape and Naval",curated,
Architectural Assistant,17-3011.00,Architectural and Civil Drafters,gemini,0.85
Archivist,25-4011.00,Archivists,curated,
Arts Administrator,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.8
Arts Critic,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.8
Arts Festival Organizer,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.92
Arts Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.85
Arts and Cultural Administrator,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.85
Asset Manager,11-3031.03,Investment Fund Managers,gemini,0.85
Assistive Technology Developer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.85
Assistive Technology Specialist,29-1122.00,Occupational Therapists,gemini,0.7
Athlete Liaison Officer,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",gemini,0.8
Athletic Director,11-9032.00,"Education Administrators, Kindergarten through Secondary",curated,
Athletic Trainer,29-9091.00,Athletic Trainers,curated,
Audio Engineer,27-4014.00,Sound Engineering Technicians,gemini,0.95
Auditor,13-2011.00,Accountants and Auditors,curated,
Author Of Islamic Literature,27-3043.00,Writers and Authors,gemini,0.9
Automation Engineer,17-2199.05,Mechatronics Engineers,gemini,0.9
Automotive Engineer,17-2141.02,Automotive Engineers,curated,
BIM Specialist,17-3011.00,Architectural and Civil Drafters,gemini,0.85
Ballet Instructor,25-3021.00,Self-Enrichment Teachers,gemini,0.8
Banking Executive,13-2099.00,"Financial Specialists, All Other",gemini,0.8
Banking Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.8
Behavioral Therapist,21-1014.00,Mental Health Counselors,gemini,0.9
Big Data Engineer,15-1243.01,Data Warehousing Specialists,gemini,0.85
Bio-mechanist,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.8
Biochemical Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Biochemist,19-1021.00,Biochemists and Biophysicists,curated,
Biodiversity Researcher,19-1029.04,Biologists,gemini,0.85
Bioinformatics Analyst,15-2099.01,Bioinformatics Technicians,curated,
Bioinformatics Specialist,15-2099.01,Bioinformatics Technicians,curated,
Biomanufacturing Specialist,19-1029.00,"Biological Scientists, All Other",gemini,0.8
Biomechanics Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.95
Biomechatronics Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.85
Biomedical Engineer,17-2031.00,Bioengineers and Biomedical Engineers,curated,
Biomedical Equipment Technician,49-9062.00,Medical Equipment Repairers,gemini,0.95
Biomedical Scientist,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.95
Biomedical Signal Processing Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Bioprocess Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.85
Biostatistician,15-2041.01,Biostatisticians,curated,
Biotech Product Specialist,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",gemini,0.85
Biotech Sales Specialist,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",gemini,0.95
Biotechnologist,19-1029.00,"Biological Scientists, All Other",gemini,0.9
Biotechnology Consultant,13-1199.00,"Business Operations Specialists, All Other",gemini,0.75
Book Reviewer,27-3043.00,Writers and Authors,gemini,0.85
Brand Manager,11-2021.00,Marketing Managers,curated,
Bridge Engineer,17-2051.00,Civil Engineers,gemini,0.95
Broadcast Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.95
Budget Analyst,13-2031.00,Budget Analysts,curated,
Building Compliance Officer,47-4011.00,Construction and Building Inspectors,gemini,0.95
Building Consultant,11-9021.00,Construction Managers,gemini,0.75
Building Control Officer,47-4011.00,Construction and Building Inspectors,gemini,0.95
Building Designer,17-1011.00,"Architects, Except Landscape and Naval",gemini,0.85
Building Information Modeler,17-3011.00,Architectural and Civil Drafters,gemini,0.85
Building Surveyor,47-4011.00,Construction and Building Inspectors,gemini,0.8
Business Analyst,13-1111.00,Management Analysts,gemini,0.9
Business Development Executive,13-1199.00,"Business Operations Specialists, All Other",gemini,0.8
Business Development Manager,11-9199.10,Wind Energy Development Managers,curated,
Business Intelligence Analyst,15-2051.01,Business Intelligence Analysts,curated,
Career Counselor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",curated,
Casting Director,27-2012.04,Talent Directors,curated,
Chaplain,21-2011.00,Clergy,curated,
Chemical Engineer,17-2041.00,Chemical Engineers,curated,
Chemical Process Engineer,17-2041.00,Chemical Engineers,gemini,0.95
Chemical Research Scientist,19-2031.00,Chemists,gemini,0.95
Chemical Safety Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",gemini,0.9
Chief Financial Officer,11-3031.01,Treasurers and Controllers,gemini,0.95
Child Development Specialist,21-1021.00,"Child, Family, and School Social Workers",gemini,0.75
Child Welfare Officer,21-1021.00,"Child, Family, and School Social Workers",gemini,0.95
Children's Program Coordinator,11-9151.00,Social and Community Service Managers,gemini,0.85
Children’s Theatre Director,27-2012.00,Producers and Directors,gemini,0.9
Chinese Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Choreographer,27-2032.00,Choreographers,curated,
Citizen Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.85
City Planner,19-3051.00,Urban and Regional Planners,curated,
Claims Analyst,13-1031.00,"Claims Adjusters, Examiners, and Investigators",gemini,0.95
Claims Consultant,13-1031.00,"Claims Adjusters, Examiners, and Investigators",gemini,0.85
Climate Change Analyst,19-2041.01,Climate Change Policy Analysts,gemini,0.95
Climatologist,19-2021.00,Atmospheric and Space Scientists,gemini,0.95
Clinical Dentist,29-1021.00,"Dentists, General",gemini,0.95
Clinical Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Clinical Epidemiologist,19-1041.00,Epidemiologists,gemini,0.95
Clinical Laboratory Technologist,29-2011.00,Medical and Clinical Laboratory Technologists,curated,
Clinical Lecturer,25-1071.00,"Health Specialties Teachers, Postsecondary",gemini,0.9
Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists,curated,
Clinical Pharmacist,29-1051.00,Pharmacists,curated,
Clinical Prosthetics Specialist,29-2091.00,Orthotists and Prosthetists,gemini,0.9
Clinical Prosthetist,29-2091.00,Orthotists and Prosthetists,gemini,0.95
Clinical Psychologist,19-3033.00,Clinical and Counseling Psychologists,curated,
Clinical Research Associate,11-9121.01,Clinical Research Coordinators,gemini,0.95
Clinical Research Coordinator,11-9121.01,Clinical Research Coordinators,curated,
Clinical Trials Coordinator,11-9121.01,Clinical Research Coordinators,gemini,0.95
Cloud Solutions Architect,15-1299.08,Computer Systems Engineers/Architects,gemini,0.9
Coastal Engineer,17-2051.00,Civil Engineers,gemini,0.9
Commercial Manager,11-1021.00,General and Operations Managers,gemini,0.8
Communication Executive,27-3031.00,Public Relations Specialists,gemini,0.9
Communication Manager,11-2032.00,Public Relations Managers,gemini,0.95
Communication Officer,27-3031.00,Public Relations Specialists,gemini,0.95
Communication Specialist,27-3031.00,Public Relations Specialists,gemini,0.95
Communications Consultant,13-1161.00,Market Research Analysts and Marketing Specialists,curated,
Community Dentist,29-1029.00,"Dentists, All Other Specialists",gemini,0.85
Community Development Officer,11-9151.00,Social and Community Service Managers,gemini,0.85
Community Development Specialist,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Community Engagement Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Community Health Nurse,29-1141.00,Registered Nurses,gemini,0.9
Community Health Worker,21-1094.00,Community Health Workers,curated,
Community Legal Services Provider,23-2011.00,Paralegals and Legal Assistants,gemini,0.75
Community Outreach Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Community Pharmacist,29-1051.00,Pharmacists,curated,
Compliance Analyst,13-2061.00,Financial Examiners,curated,
Compliance Officer,13-1041.00,Compliance Officers,curated,
Compliance Officer In Islamic Banking,13-1041.00,Compliance Officers,gemini,0.9
Compliance Officer In Islamic Institutions,13-1041.00,Compliance Officers,gemini,0.9
Component-Based Software Engineer,15-1252.00,Software Developers,gemini,0.95
Compounding Pharmacist,29-1051.00,Pharmacists,gemini,0.95
Computational Fluid Dynamics Engineer,17-2141.00,Mechanical Engineers,gemini,0.9
Computational Scientist,15-2021.00,Mathematicians,curated,
Computer Vision Engineer,15-1252.00,Software Developers,gemini,0.9
Conservation Biologist,19-1023.00,Zoologists and Wildlife Biologists,curated,
Conservation Officer,19-1031.00,Conservation Scientists,gemini,0.85
Conservation Scientist,19-1031.00,Conservation Scientists,curated,
Construction Economist,13-1051.00,Cost Estimators,gemini,0.85
Construction Manager,11-9021.00,Construction Managers,curated,
Construction Project Manager,11-9021.00,Construction Managers,gemini,0.95
Content Creator,27-3099.00,"Media and Communication Workers, All Other",gemini,0.85
Content Creator/Writer,27-3043.00,Writers and Authors,curated,
Content Developer,27-3043.00,Writers and Authors,gemini,0.8
Content Writer,27-3043.00,Writers and Authors,gemini,0.95
Contract Administrator,13-1199.00,"Business Operations Specialists, All Other",gemini,0.85
Contract Manager,11-9199.00,"Managers, All Other",gemini,0.8
Contract Specialist,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",gemini,0.9
Control Systems Engineer,17-2199.05,Mechatronics Engineers,gemini,0.85
