onet_code,reported_title
11-1011.00,CEO (Chief Executive Officer)
11-1011.00,Chief Diversity Officer (CDO)
11-1011.00,Chief Financial Officer (CFO)
11-1011.00,Chief Information Officer (CIO)
11-1011.00,Chief Operating Officer (COO)
11-1011.00,Chief Technical Officer (CTO)
11-1011.00,Executive Director
11-1011.00,Executive Vice President (EVP)
11-1011.00,Operations Vice President (Operations VP)
11-1011.00,President
11-1011.03,Chief Sustainability Officer (CSO)
11-1011.03,Corporate Sustainability Process Manager
11-1011.03,CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President)
11-1011.03,Sustainability Chancellor
11-1011.03,Sustainability Chief
11-1011.03,Sustainability Director
11-1011.03,Sustainability Initiatives Vice President (Sustainability Initiatives VP)
11-1011.03,Sustainability Manager
11-1011.03,Sustainability Programs Director
11-1011.03,Sustainable Design Director
11-1021.00,Business Manager
11-1021.00,Center Manager
11-1021.00,Department Manager
11-1021.00,District Manager
11-1021.00,General Manager (GM)
11-1021.00,Operations Director
11-1021.00,Operations General Manager (Operations GM)
11-1021.00,Operations Manager
11-1021.00,Plant Superintendent
11-1021.00,Store Manager
11-2011.00,Account Executive
11-2011.00,Ad Accounts Executive (Advertising Accounts Executive)
11-2011.00,Ad Director (Advertising Director)
11-2011.00,Ad Manager (Advertising Manager)
11-2011.00,Ad Sales Director (Advertising Sales Director)
11-2011.00,Ad Sales Manager (Advertising Sales Manager)
11-2011.00,Classified Ad Manager (Classified Advertising Manager)
11-2011.00,Creative Services Director
11-2011.00,Promotions Director
11-2011.00,Promotions Manager
11-2021.00,BD Director (Business Development Director)
11-2021.00,BD Manager (Business Development Manager)
11-2021.00,Brand Manager
11-2021.00,Market Development Executive
11-2021.00,Market Development Manager
11-2021.00,Marketing Communications Manager
11-2021.00,Marketing Coordinator
11-2021.00,Marketing Director
11-2021.00,Product Manager
11-2021.00,Product Marketing Manager
11-2022.00,District Sales Manager
11-2022.00,Fractional Sales Executive
11-2022.00,National Sales Manager
11-2022.00,Regional Sales Manager
11-2022.00,Sales and Marketing VP (Sales and Marketing Vice President)
11-2022.00,Sales Director
11-2022.00,Sales Manager
11-2022.00,Sales Operations Manager (Sales Ops Manager)
11-2022.00,Sales Supervisor
11-2022.00,Sales VP (Sales Vice President)
11-2032.00,Communications Director
11-2032.00,Communications Manager
11-2032.00,Community Relations Director
11-2032.00,PR Director (Public Relations Director)
11-2032.00,Public Affairs Director
11-2033.00,Advancement Director
11-2033.00,Annual Giving Director
11-2033.00,Development Director
11-2033.00,Donor Engagement Director
11-2033.00,Foundation Director
11-2033.00,Fundraising Manager
11-2033.00,Individual Giving Director
11-2033.00,Individual Giving Manager
11-2033.00,Institutional Advancement VP (Institutional Advancement Vice President)
11-2033.00,Major Gifts Director
11-3012.00,Administrative Coordinator
11-3012.00,Administrative Director
11-3012.00,Administrative Manager
11-3012.00,Administrative Officer
11-3012.00,Administrator
11-3012.00,Business Administrator
11-3012.00,Business Manager
11-3013.00,Building Maintenance Superintendent
11-3013.00,Building Services Supervisor
11-3013.00,Facilities Coordinator
11-3013.00,Facilities Director
11-3013.00,Facilities Engineer
11-3013.00,Facilities Maintenance Manager
11-3013.00,Facilities Manager
11-3013.00,Facilities Operations Manager (Facilities Ops Manager)
11-3013.00,Facilities Operations Specialist (Facilities Ops Specialist)
11-3013.00,Maintenance Superintendent
11-3013.01,Corporate Physical Security Supervisor
11-3013.01,Corporate Security Manager
11-3013.01,Judicial Office Security Director
11-3013.01,Physical Security Manager
11-3013.01,Physical Security Systems Manager
11-3013.01,Regional Security Manager
11-3013.01,Security and Surveillance Manager
11-3013.01,Security Director
11-3013.01,Security Manager
11-3013.01,Special Security Operations Program Manager
11-3021.00,Application Development Director
11-3021.00,Computing Services Director
11-3021.00,Data Processing Manager
11-3021.00,Information Systems Director (IS Director)
11-3021.00,Information Systems Manager (IS Manager)
11-3021.00,Information Systems Supervisor (IS Supervisor)
11-3021.00,Information Technology Director (IT Director)
11-3021.00,Information Technology Manager (IT Manager)
11-3021.00,MIS Director (Management Information Systems Director)
11-3021.00,Technical Services Manager
11-3031.00,Accounting Supervisor
11-3031.00,Banking Center Manager (BCM)
11-3031.00,Branch Manager
11-3031.00,Business Banking Manager
11-3031.00,Credit Administration Manager
11-3031.00,Credit Manager
11-3031.00,Financial Center Manager
11-3031.00,Financial Planning Manager
11-3031.00,Financial Reporting Manager
11-3031.00,Financial Systems Manager
11-3031.01,Comptroller
11-3031.01,Controller
11-3031.01,Corporate Controller
11-3031.01,Corporate Treasurer
11-3031.01,Finance Treasurer
11-3031.01,Global Treasurer
11-3031.01,Regional Controller
11-3031.01,School Treasurer
11-3031.01,Treasurer
11-3031.01,Treasurer Consultant
11-3031.03,Fixed Income Portfolio Manager
11-3031.03,Fixed Income Vice President (Fixed Income VP)
11-3031.03,Investment Analysis Vice President (Investment Analysis VP)
11-3031.03,Portfolio Manager
11-3051.00,Area Plant Manager
11-3051.00,Assembly Manager
11-3051.00,General Production Manager
11-3051.00,Manufacturing Coordinator
11-3051.00,Manufacturing Manager
11-3051.00,Plant Manager
11-3051.00,Product Line Manager
11-3051.00,Production Control Manager
11-3051.00,Production Manager
11-3051.00,Sub Plant Manager
11-3051.01,Product Quality Director
11-3051.01,Quality and Food Safety Manager
11-3051.01,Quality and Process Improvement Manager
11-3051.01,Quality Assurance Director (QA Director)
11-3051.01,Quality Assurance Manager (QA Manager)
11-3051.01,Quality Control Manager (QC Manager)
11-3051.01,Quality Control Supervisor (QC Supervisor)
11-3051.01,Quality Director
11-3051.01,Quality Manager
11-3051.01,Quality Systems Director
11-3051.02,Plant Manager
11-3051.02,Plant Supervisor
11-3051.02,Power Plant Operations Manager
11-3051.03,Biofuels Production Manager
11-3051.03,Ethanol Operations Manager
11-3051.03,Plant Manager
11-3051.03,Production Coordinator
11-3051.03,Production Manager
11-3051.03,Production Plant Manager
11-3051.04,Fuel Manager
11-3051.04,Maintenance Manager
11-3051.04,Maintenance Superintendent
11-3051.04,Maintenance Supervisor
11-3051.04,Operations and Maintenance Manager (O&M Manager)
11-3051.04,Operations Superintendent
11-3051.04,Operations Supervisor
11-3051.04,Plant Manager
11-3051.04,Utilities Superintendent
11-3051.06,Hydroelectric Station Supervisor (Hydro Station Supervisor)
