faculty,programme,programme_slug,um_title,onet_code,onet_title,mapping_method,gemini_confidence
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Scholar,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Religious Teacher,25-3021.00,Self-Enrichment Teachers,gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Academic Researcher,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.75
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Finance Advisor,13-2052.00,Personal Financial Advisors,gemini,0.88
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Community Development Officer,11-9151.00,Social and Community Service Managers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Education Curriculum Developer,25-9031.00,Instructional Coordinators,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Interfaith Dialogue Facilitator,21-2099.00,"Religious Workers, All Other",gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Law Consultant,23-1011.00,Lawyers,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Public Policy Analyst,19-3094.00,Political Scientists,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Social Services Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Cultural Heritage Manager,25-4012.00,Curators,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,NGO Program Officer,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Religious Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Writer Or Author On Islamic Topics,27-3043.00,Writers and Authors,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Museum Curator,25-4012.00,Curators,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Translator Of Islamic Texts,27-3091.00,Interpreters and Translators,gemini,0.95
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Media And Communications Specialist In Islamic Content,27-3031.00,Public Relations Specialists,gemini,0.85
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Human Rights Advocate,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.8
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Ethics Consultant,13-1111.00,Management Analysts,gemini,0.7
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Educational Administrator,11-9039.00,"Education Administrators, All Other",gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Shariah Compliance Officer,13-1041.00,Compliance Officers,gemini,0.9
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Islamic Finance Executive,13-2099.00,"Financial Specialists, All Other",gemini,0.82
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF MUAMALAT MANAGEMENT,bachelor-of-muamalat-management,Syariah Auditor,13-2011.00,Accountants and Auditors,gemini,0.9
