faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Scholar
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Religious Teacher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Academic Researcher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Finance Advisor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Community Development Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Education Curriculum Developer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Interfaith Dialogue Facilitator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Law Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Public Policy Analyst
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Social Services Coordinator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Cultural Heritage Manager
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,NGO Program Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Religious Counsellor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Lecturer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Writer Or Author On Islamic Topics
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Islamic Museum Curator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC STUDIES AND SCIENCE,bachelor-of-islamic-studies-and-science,Translator Of Islamic Texts
